이름,프로젝트 기간,프로젝트 주제,해시태그
[Oracle] DB S/W 설치 및 Database 생성,2024/03/04 → 2024/03/14,"Oracle DB S/W insatll, Oracle Database 생성","#DB, #Oracle, #팀프로젝트"
[Oracle] 온프레미스 기반 데이터베이스 보안,2024/03/15 → 2024/03/26,Oracle Database Backup & Recovery,"#DB, #Oracle, #보안, #팀프로젝트"
